罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,南,久保山,141054,神奈川県,横浜市南区,三春台,2021/2/23,2,道路上,女性,20歳代,あり
窃盗,ひったくり,旭,二俣川,141127,神奈川県,横浜市旭区,さちが丘,2021/5/19,22,道路上,男性,40歳代,あり
窃盗,ひったくり,旭,二俣川,141127,神奈川県,横浜市旭区,本宿町,2021/2/6,19,道路上,男性,30歳代,あり
窃盗,ひったくり,加賀町,山下町,141046,神奈川県,横浜市中区,山下町,2021/9/23,19,道路上,男性,40歳代,あり
窃盗,ひったくり,磯子,間坂,141071,神奈川県,横浜市磯子区,磯子４丁目,2021/2/6,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,金沢,富岡,141089,神奈川県,横浜市金沢区,富岡東１丁目,2021/3/4,20,道路上,女性,30歳代,あり
窃盗,ひったくり,戸部,浅間町,141038,神奈川県,横浜市西区,浅間町２丁目,2021/9/26,5,道路上,女性,40歳代,なし
窃盗,ひったくり,戸部,高島,141038,神奈川県,横浜市西区,平沼１丁目,2021/11/28,2,その他,女性,20歳代,あり
窃盗,ひったくり,戸部,高島,141038,神奈川県,横浜市西区,平沼２丁目,2021/11/8,1,道路上,女性,30歳代,あり
窃盗,ひったくり,神奈川,三ツ沢,141020,神奈川県,横浜市神奈川区,三ツ沢東町,2021/1/13,19,道路上,女性,20歳代,あり
窃盗,ひったくり,神奈川,入江,141020,神奈川県,横浜市神奈川区,入江２丁目,2021/3/31,18,道路上,男性,10歳代,なし
窃盗,ひったくり,神奈川,神之木,141020,神奈川県,横浜市神奈川区,西寺尾２丁目,2021/4/20,10,道路上,女性,65-69歳,あり
窃盗,ひったくり,鶴見,市場,141011,神奈川県,横浜市鶴見区,市場大和町,2021/1/19,22,道路上,女性,30歳代,なし
窃盗,ひったくり,港南,上永谷駅前,141119,神奈川県,横浜市港南区,上永谷５丁目,2021/6/27,21,道路上,男性,70歳以上,なし
窃盗,ひったくり,港南,野庭,141119,神奈川県,横浜市港南区,野庭町,2021/1/17,11,道路上,女性,65-69歳,あり
窃盗,ひったくり,緑,鴨居駅前,141135,神奈川県,横浜市緑区,東本郷５丁目,2021/10/21,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,港北,大倉山,141097,神奈川県,横浜市港北区,大倉山１丁目,2021/4/19,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,港北,新横浜駅前,141097,神奈川県,横浜市港北区,篠原町,2021/2/5,19,道路上,女性,60-64歳,あり
窃盗,ひったくり,港北,日吉東,141097,神奈川県,横浜市港北区,日吉７丁目,2021/5/7,21,道路上,男性,40歳代,あり
窃盗,ひったくり,港北,菊名池,141097,神奈川県,横浜市港北区,菊名１丁目,2021/5/2,19,道路上,女性,40歳代,あり
窃盗,ひったくり,港北,菊名駅前,141097,神奈川県,横浜市港北区,錦が丘,2021/2/5,19,道路上,女性,20歳代,あり
窃盗,ひったくり,港北,高田,141097,神奈川県,横浜市港北区,高田西４丁目,2021/11/8,20,道路上,女性,50歳代,なし
窃盗,ひったくり,瀬谷,南台,141143,神奈川県,横浜市瀬谷区,三ツ境,2021/4/21,16,道路上,女性,65-69歳,あり
窃盗,ひったくり,麻生,岡上,141372,神奈川県,川崎市麻生区,岡上,2021/2/4,21,道路上,男性,20歳代,なし
窃盗,ひったくり,麻生,新百合ヶ丘駅前,141372,神奈川県,川崎市麻生区,王禅寺西３丁目,2021/10/12,14,道路上,女性,20歳代,なし
窃盗,ひったくり,川崎,京町通,141313,神奈川県,川崎市川崎区,池田１丁目,2021/10/4,0,道路上,女性,20歳代,なし
窃盗,ひったくり,川崎,南町,141313,神奈川県,川崎市川崎区,日進町,2021/10/3,23,道路上,女性,20歳代,なし
窃盗,ひったくり,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前２丁目,2021/4/3,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2021/4/4,17,道路上,女性,30歳代,あり
窃盗,ひったくり,川崎,大師駅前,141313,神奈川県,川崎市川崎区,東門前１丁目,2021/4/4,16,道路上,女性,50歳代,あり
窃盗,ひったくり,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,駅前本町,2021/7/20,4,道路上,男性,50歳代,あり
窃盗,ひったくり,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,江川２丁目,2021/3/29,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,観音２丁目,2021/4/3,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,昭和１丁目,2021/3/25,17,道路上,女性,50歳代,あり
窃盗,ひったくり,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,殿町１丁目,2021/3/30,17,道路上,女性,50歳代,あり
窃盗,ひったくり,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,四谷上町,2021/4/1,16,道路上,男性,65-69歳,あり
窃盗,ひったくり,多摩,堰,141356,神奈川県,川崎市多摩区,宿河原６丁目,2021/2/18,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,多摩,堰,141356,神奈川県,川崎市多摩区,宿河原６丁目,2021/2/25,17,道路上,女性,70歳以上,なし
窃盗,ひったくり,多摩,宿河原,141356,神奈川県,川崎市多摩区,宿河原２丁目,2021/2/25,18,道路上,女性,60-64歳,あり
窃盗,ひったくり,多摩,宿河原,141356,神奈川県,川崎市多摩区,宿河原２丁目,2021/2/27,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,多摩,菅星ヶ丘,141356,神奈川県,川崎市多摩区,菅馬場１丁目,2021/3/3,17,道路上,男性,65-69歳,あり
窃盗,ひったくり,浦賀,北久里浜駅前,142018,神奈川県,横須賀市,根岸町３丁目,2021/7/25,22,道路上,女性,60-64歳,あり
窃盗,ひったくり,藤沢北,湘南台駅東口,142051,神奈川県,藤沢市,湘南台１丁目,2021/5/12,11,その他,男性,70歳以上,なし
窃盗,ひったくり,藤沢北,湘南台駅西口,142051,神奈川県,藤沢市,湘南台２丁目,2021/5/12,13,その他,女性,70歳以上,あり
窃盗,ひったくり,藤沢北,長後駅前,142051,神奈川県,藤沢市,高倉,2021/4/21,15,道路上,女性,60-64歳,あり
窃盗,ひったくり,藤沢,本鵠沼,142051,神奈川県,藤沢市,本鵠沼２丁目,2020/12/26,19,道路上,男性,70歳以上,なし
窃盗,ひったくり,藤沢,藤沢駅南口,142051,神奈川県,藤沢市,鵠沼花沢町,2021/3/5,12,道路上,女性,30歳代,あり
窃盗,ひったくり,茅ケ崎,今宿,142077,神奈川県,茅ヶ崎市,中島,2021/10/5,7,道路上,女性,50歳代,あり
窃盗,ひったくり,茅ケ崎,浜見平,142077,神奈川県,茅ヶ崎市,南湖２丁目,2021/10/19,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,浜見平,142077,神奈川県,茅ヶ崎市,柳島海岸,2021/10/20,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,茅ケ崎駅前,142077,神奈川県,茅ヶ崎市,新栄町,2021/10/9,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,鶴が台,142077,神奈川県,茅ヶ崎市,円蔵２丁目,2021/2/4,20,道路上,女性,60-64歳,あり
窃盗,ひったくり,平塚,中原,142034,神奈川県,平塚市,御殿１丁目,2021/7/12,16,道路上,女性,20歳代,あり
窃盗,ひったくり,平塚,西仲町,142034,神奈川県,平塚市,中里,2021/10/14,16,道路上,女性,65-69歳,あり
窃盗,ひったくり,相模原南,南大野,141534,神奈川県,相模原市南区,南台３丁目,2021/11/29,10,道路上,女性,40歳代,あり
窃盗,ひったくり,海老名,海老名駅前,142158,神奈川県,海老名市,中央１丁目,2021/5/13,15,その他,男性,60-64歳,なし
